Changed database context to 'ZENTRIK'.
telcod,telnom,modbus_ip,modbus_port,modbus_unit_id,modo,calc_pulse_offset,plc_base_offset,plc_hil_act_rel,plc_velocidad_rel,plc_hil_turno_rel,plc_set_rel,plc_hil_start_rel,plc_coil_reset,plc_coil_fin_turno,activo
------,------,---------,-----------,--------------,----,-----------------,---------------,---------------,-----------------,-----------------,-----------,-----------------,--------------,------------------,------
0069,Telar 69,192.168.1.115,502,1,PLC,NULL,20000,0,4,6,7,10,100,101,1
0059,Telar 59,192.168.1.47,502,1,CALC,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
0060,Telar 60,192.168.1.47,502,1,CALC,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
0061,Telar 61,192.168.1.47,502,1,CALC,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
0062,Telar 62,192.168.1.47,502,1,CALC,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
0063,Telar 63,192.168.1.51,502,1,CALC,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
0064,Telar 64,192.168.1.51,502,1,CALC,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
0065,Telar 65,192.168.1.51,502,1,CALC,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
0066,Telar 66,192.168.1.51,502,1,CALC,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
0067,Telar 67,192.168.1.52,502,1,CALC,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
0068,Telar 68,192.168.1.52,502,1,CALC,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
0070,Telar 70,192.168.1.42,502,1,CALC,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
0090,Telar 90,192.168.1.41,502,1,CALC,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
0091,Telar 91,192.168.1.41,502,1,CALC,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
0092,Telar 92,192.168.1.41,502,1,CALC,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
0093,Telar 93,192.168.1.41,502,1,CALC,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
0094,Telar 94,192.168.1.41,502,1,CALC,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
0095,Telar 95,192.168.1.42,502,1,CALC,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
0096,Telar 96,192.168.1.42,502,1,CALC,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
0097,Telar 97,192.168.1.42,502,1,CALC,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
0098,Telar 98,192.168.1.40,502,1,CALC,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
0099,Telar 99,192.168.1.40,502,1,CALC,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2130,Telar 74,192.168.1.40,502,1,CALC,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2131,Telar 75,192.168.1.40,502,1,CALC,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2132,Telar 76,192.168.1.51,502,1,CALC,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2133,Telar 77,192.168.1.40,502,1,CALC,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2134,Telar 78,192.168.1.40,502,1,CALC,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2135,Telar 79,192.168.1.41,502,1,CALC,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2147,Rashell 2,192.168.1.43,502,1,CALC,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2150,Rashell 3,192.168.1.43,502,1,CALC,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2151,Rashell 4,192.168.1.43,502,1,CALC,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2152,Rashell 6,192.168.1.43,502,1,CALC,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2153,Rashell 5,192.168.1.43,502,1,CALC,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2154,Rashell 1,192.168.1.43,502,1,CALC,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2176,Shogun 1,192.168.1.44,502,1,CALC,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2319,Shogun 10,192.168.1.44,502,1,CALC,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2320,Shogun 11,192.168.1.44,502,1,CALC,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2321,Shogun 12,192.168.1.44,502,1,CALC,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2322,Shogun 3,192.168.1.44,502,1,CALC,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2323,Shogun 4,192.168.1.44,502,1,CALC,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2324,Shogun 5,192.168.1.44,502,1,CALC,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2325,Shogun 6,192.168.1.44,502,1,CALC,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2326,Shogun 7,192.168.1.44,502,1,CALC,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2327,Shogun 8,192.168.1.44,502,1,CALC,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2328,Shogun 9,192.168.1.44,502,1,CALC,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2333,Telar 81,192.168.1.40,502,1,CALC,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2334,Telar 82,192.168.1.43,502,1,CALC,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2335,Telar 83,192.168.1.43,502,1,CALC,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2336,Telar 84,192.168.1.43,502,1,CALC,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2337,Telar 85,192.168.1.43,502,1,CALC,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2338,Telar 86,192.168.1.43,502,1,CALC,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2339,Telar 87,192.168.1.40,502,1,CALC,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2340,Telar 88,192.168.1.40,502,1,CALC,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2341,Telar 89,192.168.1.42,502,1,CALC,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
T001,Telar 01,192.168.1.41,502,1,CALC,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
T002,Telar 02,192.168.1.41,502,1,CALC,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
T003,Telar 03,192.168.1.42,502,1,CALC,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
T004,Telar 04,192.168.1.41,502,1,CALC,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
T005,Telar 05,192.168.1.41,502,1,CALC,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
T006,Telar 06,192.168.1.51,502,1,CALC,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
T007,Telar 07,192.168.1.51,502,1,CALC,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
T008,Telar 08,192.168.1.42,502,1,CALC,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
T009,Telar 09,192.168.1.51,502,1,CALC,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
T010,Telar 10,192.168.1.51,502,1,CALC,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
T011,Telar 11,192.168.1.42,502,1,CALC,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
T100,Telar 100,192.168.1.41,502,1,CALC,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
T101,Telar 101,192.168.1.51,502,1,CALC,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1

(67 rows affected)
